,CLASS,TITLE_x,CASE_HISTORY,CLEAN_COMMENTS
0,EMSE SMARTS,Please assist in troubleshooting ticketing issue on 2 BT_Bearers,"
*** NOTES 13/03/2018 13:49:11 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
I simulated outages on both of these BT_Bearers. Alarms are seen for both but no ticket request is seen in GSAM.  Please assist in troubleshooting this issue at your earliest convenience.


BT_Bearer	VLAN	VLAN	Ticket request
C35146-740	ULTR00000498	 	none
C35196-987	ULTR00000499	ULTR00000508	none



*** NOTES 25/04/2018 17:57:59 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
I had updated this via email to reuters.smarts@bt.com But I see the latest notes don't appear in the Bridge case. 
We have the same issue on a number of BT_Bearers. Please also include

OGYX/155701//ZYO 
OGYX/155704//ZYO
LON/LON/LE-219070
The above note has been entered by a Guest User with EIN of 790117674


*** CASE CLOSE 12/03/2019 09:29:40 sa
Case Closed
",simulated outages BTBearers Alarms seen ticket seen GSAM assist troubleshooting earliest convenience BTBearer VLAN VLAN Ticket C35146740 ULTR00000498 none C35196987 ULTR00000499 ULTR00000508 none updated via reuterssmarts But latest notes nt appear number BTBearers also include OGYX/155701//ZYO OGYX/155704//ZYO LON/LON/LE219070 entered Guest User EIN sa
1,EMSE SMARTS,EMSE Smart Alarm,"
*** NOTES 19/07/2018 10:16:18 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Please refresh  or remove the following line from the EMSE Smart Alarm. 
These items are false alarms.

2	TRUE	mohdtana	NetworkConnection	fx-1154884-cx2-us-nut/Gi0/1.101<->pe1-nut-am/Fa5/1/3.101	DownOrFlapping	Sat Sep 09 13:25:14 SGT 2017	Wed Jul 18 15:55:09 SGT 2018
2	TRUE	mohdtana	NetworkConnection	fx-1154884-cx2-us-nut/Gi0/1.100<->pe1-nut-am/Fa5/1/3.100	DownOrFlapping	Sat Sep 09 13:25:14 SGT 2017	Wed Jul 18 15:54:09 SGT 2018



*** NOTES 19/03/2019 06:17:39 nxvac09 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 19/03/2019 06:17:39 nxvac09
Case Closed
",refresh remove line EMSE Smart Alarm These items false alarms TRUE mohdtana NetworkConnection fx1154884cx2usnut/Gi0/1101 pe1nutam/Fa5/1/3101 DownOrFlapping Sat Sep SGT Wed Jul SGT TRUE mohdtana NetworkConnection fx1154884cx2usnut/Gi0/1100 pe1nutam/Fa5/1/3100 DownOrFlapping Sat Sep SGT Wed Jul SGT nxvac09 nxvac09
2,SMARTS MPLS,No Alarm Generated in SMARTS for pg-h-pg0295-297371620,"
*** NOTES 07/08/2018 13:14:33 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
On 2nd Aug, we received a reactive incident form site that CE4 MPLS is down since 2d06 hrs. which means that the link was down since 31-July. LON/EAN/LE-157945 is the circuit id and the device hostname is pg-h-pg0295-297371620. (143.26.28.143). The monitoring team did not get any alerts for this device during this incident. So, please let us know if this device is configured properly in SMARTS


 
*** RESEARCH LOG 07/08/2018 13:40:29 nxbav22 Action Type: Action Taken
*** UKEEMSESMARTS        Bharath Venkatesan  +91 8884810626  nxbav22
Dispatching to right queue

Regards,
Bharath Venkatesan

*** NOTES 09/08/2018 11:37:36 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Hello Team, may I have an update on the requested information please.
The above note has been entered by a Guest User with EIN of 609107421


*** NOTES 03/05/2019 09:40:08 nxbap51 Action Type: PM Team
Resolution Code =Request Rejected

*** CASE CLOSE 03/05/2019 09:40:09 nxbap51
Case Closed
",Onnd Aug received reactive incident form site CE4 MPLS sinced06 hrs means link sinceJuly LON/EAN/LE157945 circuit id hostname pghpg0295297371620 monitoring alerts incident So properly SMARTS nxbav22 UKEEMSESMARTS Bharath Venkatesan nxbav22 Dispatching right queue Bharath Venkatesan Hello may update requested entered Guest User EIN nxbap51 Rejected nxbap51
3,NIAB,NIAB notification console - Alerts cleared however not archived in  NIAB,"*** PHONE LOG 28/08/2018 15:50:20 nurgc87
*** APLSUPNBSTOOLSQ        Ritesh Chandani  +91-01244401321  nurgc87
NIAB ASG Team,

We have observed that there are currently there are approximately 7400 alarms which are not archived (screenshot below).

Per the NIAB design the alarms should get archived after 4 hours of them getting cleared. Please investigate

Note - Filter used : Active = NO

screenshots sent via email.



Regards,
Ritesh Chandani
TCAP - Tools SME, Nationwide Building Society
Email:  ritesh.chandani@bt.com <mailto:ritesh.chandani@bt.com>


 
*** EMAIL OUT 30/08/2018 11:53:19 nxmbs18 Action Type: Internal email
Send to: [ritesh.chandani@bt.com]
CC List: [suryadip.kumar@bt.com;niab.support@bt.com]
*** APLSUPGSNIAB        Mounisha Shantha Kumar  +91 9731540589  nxmbs18
Hi Ritesh,

Please note alarms will get archived after 4 hours only if ticket is closed and ownership is released.

----------------------------------
Regarding below query :

""We have observed that there are currently there are approximately 7400 alarms which are not archived (screenshot below).

Per the NIAB design the alarms should get archived after 4 hours of them getting cleared. Please investigate

Note - Filter used : Active = NO


Thanks,
NIAB ASG

screenshots sent via email.

""

Thanks,
NIAB ASG

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** RESEARCH LOG 04/09/2018 09:22:03 nxdan54 Action Type: Action Taken
*** APLSUPNBSTOOLSQ        Danish Nomani [611731904]    nxdan54
Below are the 2 more queries which need to be answered:

1. How does the Ownership of NIAB alarm get released where NGSD is the owner of NIAB event?
2. And where the ownership doesn't belong to NGSD?

 
*** RESEARCH LOG 11/09/2018 12:26:36 nxskk67 Action Type: Action Taken
*** APLSUPGSNIAB        Suryadip Kumar  91702 666 7194  nxskk67
As discussed earlier, cleared alarms will get archived only after 4 hours only if Ticket status is Closed and OwnerShip is released.
Hence requesting you to please check and confirm back the below concern again based on the above two conditions.



 
*** EMAIL OUT 11/09/2018 13:10:34 nurgc87 Action Type: Internal email
Send to: [mounisha.shanthakumar@bt.com, niab.support@bt.com]
CC List: [suryadip.kumar@bt.com]
*** APLSUPNBSTOOLSQ        Ritesh Chandani  +91-01244401321  nurgc87
Hi Mounisha,

As discussed we apply the following filters listed below and still see the the alarms are cleared, however still 762 alarms visible on the notification console in white color.
The notification console does not let me download the list as that option is not enabled in NIAB. Few samples below

INC000000732507[Resolved]
INC000000899650[Resolved]
INC000000944217[Resolved]
INC000001333954[Resolved]

Active = No
Ticket ID contains resolved
Owner = NGSD

Please review and check with NGSD as appropriate.

Regards,
Ritesh

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** RESEARCH LOG 11/09/2018 13:21:04 nxskk67 Action Type: Action Taken
*** APLSUPGSNIAB        Suryadip Kumar  91702 666 7194  nxskk67
Hi NGSD Team,

Could you please confirm if the status of the below ticket's is Closed in NGSD, if Closed could you please let us know when was the Ticket Closed xml sent to NIAB, because the current status of the below tickets are as ""Resolved"" in NIAB. 


INC000000732507[Resolved]
INC000000899650[Resolved]
INC000000944217[Resolved]
INC000001333954[Resolved]

Please provide the ticket Closed xml sent to niab if the above mentioned tickets are already closed at NGSD.


Regards,
Suryadip



 
*** RESEARCH LOG 12/09/2018 15:12:47 nxaak82 Action Type: Action Taken
*** APLSUPNGSDITSM        Alika Khare   ...",PHONE nurgc87 APLSUPNBSTOOLSQ Ritesh Chandani nurgc87 NIAB observed currently approximately alarms archived screenshot Per NIAB design alarms archived hours getting cleared investigate Note Filter used Active NO screenshots sent via Ritesh Chandani TCAP Tools SME Nationwide Building Society riteshchandani mailto riteshchandani EMAIL OUT nxmbs18 Send riteshchandani CC List suryadipkumar niabsupport APLSUPGSNIAB Mounisha Shantha Kumar nxmbs18 Ritesh alarms archived hours ticket closed ownership released Regarding query observed currently approximately alarms archived screenshot Per NIAB design alarms archived hours getting cleared investigate Note Filter used Active NO NIAB screenshots sent via NIAB reply queries box monitored nxdan54 APLSUPNBSTOOLSQ Danish Nomani nxdan54 Below queries answered How Ownership NIAB alarm released NGSD owner NIAB event And ownership nt belong NGSD nxskk67 APLSUPGSNIAB Kumar nxskk67 discussed earlier cleared alarms archived hours Ticket status OwnerShip released Hence requesting back concern based two conditions EMAIL OUT nurgc87 Send mounishashanthakumar niabsupport CC List suryadipkumar APLSUPNBSTOOLSQ Ritesh Chandani nurgc87 Mounisha discussed apply filters listed still alarms cleared however still alarms visible notification console white color notification console download option enabled NIAB Few samples INC000000732507 Resolved INC000000899650 Resolved INC000000944217 Resolved INC000001333954 Resolved Active Ticket contains resolved Owner NGSD review NGSD appropriate Ritesh reply queries box monitored nxskk67 APLSUPGSNIAB Kumar nxskk67 NGSD Could status ticket s NGSD could Ticket xml sent NIAB current status tickets Resolved NIAB INC000000732507 Resolved INC000000899650 Resolved INC000000944217 Resolved INC000001333954 Resolved ticket xml sent niab tickets already closed NGSD nxaak82 APLSUPNGSDITSM Alika Khare
4,IONIX NCM,NCM Unable to pull configuration: ZIG case,"
*** NOTES 14/09/2018 12:00:55 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Can you please check why NCM is unable to pull the configuration devices selected in screenshot. We can do cut-through but NCM is unable to pull.


 
*** RESEARCH LOG 21/09/2018 12:07:13 nxdar82 Action Type: Action Taken
*** APLSUPIONIX        Dinesh Ragupathi  +919597796993  nxdar82
Device ip:
10.142.236.14 
10.142.236.15

 
*** RESEARCH LOG 12/12/2018 11:11:19 nxdar82 Action Type: Action Taken
*** APLSUPIONIX        Dinesh Ragupathi  +919597796993  nxdar82
The device's response to emc commands is far beyond the optimum time. Hence the config is not getting pulled due to authentication issue.

*** NOTES 02/04/2019 15:32:36 nxsbn82 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 02/04/2019 15:32:37 nxsbn82
Case Closed
",NCM unable pull configuration selected screenshot cutthrough NCM unable pull nxdar82 APLSUPIONIX Ragupathi nxdar82 ip nxdar82 APLSUPIONIX Ragupathi nxdar82 s response emc commands far beyond optimum time Hence config getting pulled due authentication nxsbn82 nxsbn82
5,EMSE SMARTS,Missed polls issue on RBS interfaces,"*** PHONE LOG 27/09/2018 15:19:34 nxsjk20
*** APLSUPWATCH4NET        Sivakumar Kakarta  +919535435140  nxsjk20
Hi All,

There are missed polls on Few RBS interfaces. W4N ASG working is in progress to fix this issue.

Thanks


 
*** RESEARCH LOG 24/10/2018 08:09:45 nxsjk20 Action Type: Action Taken
*** APLSUPWATCH4NET        Sivakumar Kakarta  +919535435140  nxsjk20
cOMMENTS FROM emc:


Hi Siva,
Thanks for that.
Cross checking some of the timestamps from the empty cells within the exported excel sheet against the collecting logs i can see alot of warnings such as:

Line 2852: WARNING    -- [2018-10-13 05:00:39 BST] -- SmPollingData::skipMissedPollings(): emc-smarts : APM1-S-RBS-roc (conf/smarts-pm.xml): 194.863 s late, 2 polling loop(s) missed and next polling will start 194.863 s late...

This indicates that polling cycle's from the Smarts Collector were missed and unable to complete due to a delay in the previous polling cycle(s).
When this happens, typically speaking, it is usually as a result of the SAM domain (in this case APMS1) being busy or unable to process the collectors request within the set period of the polling cycle.
This may happen for example in large SAM domains (is APM1 a large domain?) or possibility when there is a re-discovery happening at the time within the domain.



 
*** RESEARCH LOG 26/10/2018 10:30:11 nxsav46 Action Type: Action Taken
*** Workgroup Unknown        Srinivasa Vinodula  +91 9916543607  nxsav46
From: Kieran O'Flynn [emccustomerservice@emc.com]
Sent: 24/10/2018 14:58
To: sumeda_shedjale@infosys.com <mailto:sumeda_shedjale@infosys.com>; srinivasa.vinodula@bt.com <mailto:srinivasa.vinodula@bt.com>; sivakumar.kakarta@bt.com <mailto:sivakumar.kakarta@bt.com>; bhanuchandra.pendem@bt.com <mailto:bhanuchandra.pendem@bt.com>; emse.smarts@bt.com <mailto:emse.smarts@bt.com>
Cc: rajshree.duraikannan@bt.com <mailto:rajshree.duraikannan@bt.com>; varsha.joseph@bt.com <mailto:varsha.joseph@bt.com>; stephen.clark@bt.com <mailto:stephen.clark@bt.com>; manjul.mishra@bt.com <mailto:manjul.mishra@bt.com>; aggya.2.jaiswal@bt.com <mailto:aggya.2.jaiswal@bt.com>
Subject: RE: Dell EMC: SR# 12463834, Site: Infosys Limited, Product: Watch4net, Product ID: , Summary: [ Miss [ ]
[EXTERNAL EMAIL] 
Please report any suspicious attachments, links, or requests for sensitive information.
Hi Siva,
The log snippet in my previous mail referred to the Smarts Collector:

Line 2852: WARNING	 -- [2018-10-13 05:00:39 BST] -- SmPollingData::skipMissedPollings(): emc-smarts : APM1-S-RBS-roc (conf/smarts-pm.xml): 194.863 s late, 2 polling loop(s) missed and next polling will start 194.863 s late...

From this sample output we can see a late polling cycle.
There are many other similar warning's throughout the Smarts Collecting logs.
All of which indicate that at times during the W4N polling and collecting cycles (from the W4N Smarts Collector) there are delay's collecting metrics from the specific Smarts Domains.
As i was saying this can happen for a number of reasons, such as,

When the Smarts Collector is polling a large SAM domain.
Or if the Smarts domain being polled, is busier than normal at the time of polling, such as when a rediscovery is happening. This would lead to a knock on effect in the W4N Smarts Collector itself.

Thanks
Kieran


--------------- Original Message ---------------
From: [sivakumar.kakarta@bt.com]
Sent: 26/10/2018 07:55
To: emccustomerservice@emc.com <mailto:emccustomerservice@emc.com>; srinivasa.vinodula@bt.com <mailto:srinivasa.vinodula@bt.com>; sumeda_shedjale@infosys.com <mailto:sumeda_shedjale@infosys.com>; bhanuchandra.pendem@bt.com <mailto:bhanuchandra.pendem@bt.com>; emse.smarts@bt.com <mailto:emse.smarts@bt.com>
Cc: rajshree.duraikannan@bt.com <mailto:rajshree.duraikannan@bt.com>; varsha.joseph@bt.com <mailto:varsha.joseph@bt.com>
Subject: RE: Dell EMC: SR# 12463834, Site: Infosys Limited, Product: Watch4net, Product ID: , Summary: [ Miss [ ]
[EXTERNAL EMAIL] 
Please report any suspicious attach...",PHONE nxsjk20 APLSUPWATCH4NET Sivakumar Kakarta nxsjk20 All There missed polls Few RBS interfaces W4N working progress fix nxsjk20 APLSUPWATCH4NET Sivakumar Kakarta nxsjk20 cOMMENTS FROM emc Siva Cross timestamps empty cells exported excel sheet collecting logs alot warnings WARNING BST SmPollingData skipMissedPollings emcsmarts APM1SRBSroc conf/smartspmxml late polling loop missed next polling start late indicates polling cycle s Smarts Collector missed unable complete due delay previous polling cycle When happens typically speaking usually result SAM domain APMS1 busy unable process collectors set period polling cycle may happen example large SAM domains APM1 large domain possibility rediscovery happening time domain nxsav46 Unknown nxsav46 From Kieran OFlynn emccustomerservice emccom Sent sumedashedjale infosyscom mailto sumedashedjale infosyscom srinivasavinodula mailto srinivasavinodula sivakumarkakarta mailto sivakumarkakarta mailto emsesmarts mailto emsesmarts Cc rajshreeduraikannan mailto rajshreeduraikannan varshajoseph mailto varshajoseph stephenclark mailto stephenclark manjulmishra mailto manjulmishra aggya2jaiswal mailto aggya2jaiswal Subject RE Dell EMC SR Site Infosys Limited Product Watch4net Product Summary Miss EXTERNAL EMAIL suspicious attachments requests sensitive Siva log snippet previous referred Smarts Collector WARNING BST SmPollingData skipMissedPollings emcsmarts APM1SRBSroc conf/smartspmxml late polling loop missed next polling start late From sample output late polling cycle There many similar warning s throughout Smarts Collecting logs All indicate times W4N polling collecting cycles W4N Smarts Collector delay s collecting metrics specific Smarts Domains saying happen number reasons When Smarts Collector polling large SAM domain Or Smarts domain polled busier normal time polling rediscovery happening would lead knock effect W4N Smarts Collector Kieran Original Message From sivakumarkakarta Sent emccustomerservice emccom mailto emccustomerservice emccom srinivasavinodula mailto srinivasavinodula sumedashedjale infosyscom mailto sumedashedjale infosyscom mailto emsesmarts mailto emsesmarts Cc rajshreeduraikannan mailto rajshreeduraikannan varshajoseph mailto varshajoseph Subject RE Dell EMC SR Site Infosys Limited Product Watch4net Product Summary Miss EXTERNAL EMAIL suspicious attach
6,IONIX NCM,Mismatch in KIC report and IONIX NCM,"
*** NOTES 24/10/2018 10:44:49 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
We are getting a mismatch in the IONIX KIC report and actual IONIX NCM tool. Devices are present and getting discovered in NCM but not being recorded as 'successfully discovered' in the KIC report. On reaching out to the KIC POC, she pointed out to us that they prepared the report from the IONIX dump they receive. As per her explanation, the fields 'ATTAMPT_TIME' and 'SUCCESS_TIME' needs to be populated in order to treat this as a 'successfully discovered' records as per KIC norms. Currently all the records are being treated as 'Device previously discovered but not currently reachable'. Please get this resolved ASAP.


 
*** RESEARCH LOG 09/04/2019 17:13:26 nxmbr74 Action Type: Action Taken
*** APLSUPIONIX        Madhankumar Ramasamy    nxmbr74
Hi Team,

Details has been share via mail.

Thanks
IONIX ASG

*** NOTES 09/04/2019 17:15:26 nxmbr74 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 09/04/2019 17:15:27 nxmbr74
Case Closed
",getting mismatch IONIX KIC actual IONIX NCM tool Devices present getting discovered NCM recorded successfully discovered KIC On reaching KIC POC pointed prepared IONIX dump receive per explanation fields ATTAMPTTIME SUCCESSTIME needs populated treat successfully discovered records per KIC norms Currently records treated previously discovered currently reachable resolved ASAP nxmbr74 APLSUPIONIX nxmbr74 Details via IONIX nxmbr74 nxmbr74
7,IONIX NCM,Devices not discovered properly in Ionix - Urgent!,"*** PHONE LOG 12/11/2018 23:01:40 clnxf39
***  Auto Inactive Workgroup        Nicholas Fan  +44 207 105 9753  clnxf39
Team,

The following devices are not being discovered properly in Ionix, which means that they are at risk as they have no backups currently:

Not Audited	false	true	false	nbs-h-acsw-stc-011	Alcatel OmniSwitch	UNKNOWN		172.31.169.30		2018-11-12 18:58:40.099	91896	

This deivce should be a Cisco Nexus 5596 Switch but instead Ionix is detecting it as an OmniSwitch.

We have other devices in Ionix that are already discovered correctly and this is the first time we are seeing this - quite randomly.

Other device affected is nbs-h-acsw-stc-012 - 172.31.169.31

Please resolve ASAP.

 
*** RESEARCH LOG 03/01/2019 10:43:24 nxdar82 Action Type: Action Taken
*** APLSUPIONIX        Dinesh Ragupathi  +919597796993  nxdar82
The device class has been updated correctly and the config files are now available.
Non-Compliant	true	true	false	nbs-h-acsw-stc-012	Cisco Nexus	INFORMATION	Nexus 5596	172.31.169.31	7.3(2)N1(1)	2019-01-03 10:35:00.885	91902	
Non-Compliant	true	true	false	nbs-h-acsw-stc-011	Cisco Nexus	INFORMATION	Nexus 5596	172.31.169.30	7.3(2)N1(1)	2019-01-03 10:35:00.439	91903	

 
*** RESEARCH LOG 05/02/2019 10:42:42 nxdar82 Action Type: Action Taken
*** APLSUPIONIX        Dinesh Ragupathi  +919597796993  nxdar82
This one was resolved a while ago.
Thanks.
Nick
Nicholas Fan
Network Build & Implementation Engineer - Nationwide 
Global Customer Services
Tel: +44 (0)331 664 1562
Mob: +44 (0) 7587 241 826 / +44 (0) 7825 737 168
Email: nicholas.fan@bt.com <mailto:nicholas.fan@bt.com>


*** NOTES 05/02/2019 10:45:48 nxdar82 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 05/02/2019 10:45:48 nxdar82
Case Closed
",PHONE clnxf39 Auto Inactive Nicholas Fan clnxf39 discovered properly Ionix means risk backups currently Not Audited false true false nbshacswstc011 Alcatel OmniSwitch UNKNOWN deivce Cisco Nexus Switch instead Ionix detecting OmniSwitch Ionix already discovered correctly first time seeing quite randomly affected nbshacswstc012 resolve ASAP nxdar82 APLSUPIONIX Ragupathi nxdar82 class updated correctly config available NonCompliant true true false nbshacswstc012 Cisco Nexus INFORMATION Nexus N1 NonCompliant true true false nbshacswstc011 Cisco Nexus INFORMATION Nexus N1 nxdar82 APLSUPIONIX Ragupathi nxdar82 one resolved ago Nick Nicholas Fan Network Build Implementation Engineer Nationwide Global Services Tel Mob nicholasfan mailto nicholasfan nxdar82 nxdar82
8,IONIX NCM,Config backup getting failed in Ionix,"
*** NOTES 10/04/2019 11:18:18 nxsbn82 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 10/04/2019 11:18:18 nxsbn82
Case Closed
",nxsbn82 nxsbn82
9,EMSE SMARTS,Expedio T2R - No Auto Ticket Generated,"
*** NOTES 16/11/2018 16:20:37 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: Expedio T2R
Name: Adam Greminger
UIN: 600874902
E-mail: adam.greminger@bt.com
Primary Contact: +1 973 662 2386
Secondary Contact: +19736622345
--------------------------------

LOB : 

Process impacted : General

Customer : undefined
No screenshot provided.
--------------------------------
Full Description: No auto ticket for fx-1156367-cs2-us-nyc

Two short bounces one Nov15 2342 and Nov 16 0009 GMT


Nov 15 23:42:51.734 UTC: %BGP-5-ADJCHANGE: neighbor 62.2.69.30 vpn vrf ex-finance-126415240097 Down BFD adjacency down
Nov 15 23:42:51.734 UTC: %BGP_SESSION-5-ADJCHANGE: neighbor 62.2.69.30 IPv4 Unicast vpn vrf ex-finance-126415240097 topology base removed from session  BFD adjacency down
Nov 15 23:42:56.638 UTC: %BGP-5-ADJCHANGE: neighbor 62.2.69.30 vpn vrf ex-finance-126415240097 Up 
Nov 16 00:09:52.849 UTC: %BGP-5-ADJCHANGE: neighbor 62.2.69.30 vpn vrf ex-finance-126415240097 Down BFD adjacency down
Nov 16 00:09:52.849 UTC: %BGP_SESSION-5-ADJCHANGE: neighbor 62.2.69.30 IPv4 Unicast vpn vrf ex-finance-126415240097 topology base removed from session  BFD adjacency down
Nov 16 00:10:17.896 UTC: %BFD-6-BFD_SESS_CREATED: BFD-SYSLOG: bfd_session_created, neigh 62.2.69.30 proc:BGP, idb:GigabitEthernet0/2/1.2990 handle:29 act
Nov 16 00:10:17.896 UTC: %BGP-5-ADJCHANGE: neighbor 62.2.69.30 vpn vrf ex-finance-126415240097 Up 
Nov 16 00:10:37.304 UTC: %BFD-6-BFD_SESS_CREATED: BFD-SYSLOG: bfd_session_created, neigh 62.2.68.30 proc:BGP, idb:GigabitEthernet0/2/1.2999 handle:21 act



**************************

Case should be dispatched to - UKGSIITSDBMGMT

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** RESEARCH LOG 11/17/18 07:42:32 AM nuvxe38 Action Type: Action Taken
*** ZDEXPEDIOFM        Vinayagamoorthy Elangovan    nuvxe38
Hi SMARTS team,

Hevnt found any request for the above device at Expedio, kindly check and share us the API logs for the same.

Thanks,
Vinay
Expedio asg

 
*** RESEARCH LOG 19/11/2018 14:19:51 nxvac09 Action Type: Action Taken
*** UKEEMSESMARTS        Vishnu Vardhan Challa  +91 7842296669  nxvac09
UKEEMSESMARTS, Vishnu Challa,7842296669, nxvac09

Line 1  Infosys EMSE SMARTS APP07163 00917842296669
Line 2  Initial observation  - Ticket not recived.
Line 3  Business impact -NA 
Line 4  Case has been accpeted by smarts ASG .
Line 5  Any deadlines impacted and understood

 
*** RESEARCH LOG 19/11/2018 14:21:55 nxvac09 Action Type: Action Taken
*** UKEEMSESMARTS        Vishnu Vardhan Challa  +91 7842296669  nxvac09
UKEEMSESMARTS, Vishnu Challa,7842296669, nxvac09

Line 1 	Infosys EMSE SMARTS APP07163 00917842296669
Line 2	Investigations to date: server not accesible
Line 3	Despatched to : UKEEMSERTM
Line 4	Reason for Despatch : FV device.
Line 5	Expected output : NA
Line 6	Tentative timeline i.e. expected completion of activity

*** NOTES 19/03/2019 06:18:32 nxvac09 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 19/03/2019 06:18:32 nxvac09
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application Expedio T2R Adam Greminger UIN adamgreminger Primary Secondary LOB Process impacted General undefined screenshot Full Description auto ticket fx1156367cs2usnyc Two short bounces one Nov15 Nov GMT Nov UTC BGP5ADJCHANGE neighbor vpn vrf exfinance126415240097 Down BFD adjacency Nov UTC BGPSESSION5ADJCHANGE neighbor IPv4 Unicast vpn vrf exfinance126415240097 topology base removed session BFD adjacency Nov UTC BGP5ADJCHANGE neighbor vpn vrf exfinance126415240097 Up Nov UTC BGP5ADJCHANGE neighbor vpn vrf exfinance126415240097 Down BFD adjacency Nov UTC BGPSESSION5ADJCHANGE neighbor IPv4 Unicast vpn vrf exfinance126415240097 topology base removed session BFD adjacency Nov UTC BFD6BFDSESSCREATED BFDSYSLOG bfdsessioncreated neigh proc BGP idb GigabitEthernet0/2/12990 handle29 act Nov UTC BGP5ADJCHANGE neighbor vpn vrf exfinance126415240097 Up Nov UTC BFD6BFDSESSCREATED BFDSYSLOG bfdsessioncreated neigh proc BGP idb GigabitEthernet0/2/12999 handle21 act dispatched UKGSIITSDBMGMT Use Only Robot/17/18 AM nuvxe38 ZDEXPEDIOFM Vinayagamoorthy Elangovan nuvxe38 SMARTS Hevnt found Expedio kindly API logs Vinay Expedio asg nxvac09 UKEEMSESMARTS Challa nxvac09 UKEEMSESMARTS Challa7842296669 nxvac09 Infosys EMSE SMARTS APP07163 Initial observation Ticket recived Business NA accpeted smarts deadlines impacted understood nxvac09 UKEEMSESMARTS Challa nxvac09 UKEEMSESMARTS Challa7842296669 nxvac09 Infosys EMSE SMARTS APP07163 Investigations date server accesible Despatched UKEEMSERTM Reason Despatch FV Expected output NA Tentative timeline ie expected completion activity nxvac09 nxvac09
